conference_topic,journal,extracted_concept
Ai/ml methods for object recognition and/or identification in infrared imagery,optical metrology,object recognition
Transfer learning for infrared systems,optical metrology,infrared systems
Transfer learning for infrared systems,optical metrology,transfer learning
Domain adaptation methods between infrared systems and other sensing modalities,optical metrology,infrared systems
Domain adaptation methods between infrared systems and other sensing modalities,optical metrology,domain adaptation
Domain adaptation methods between infrared systems and other sensing modalities,optical metrology,sensing modalities
Synthetic generation of infrared imagery using ai/ml methods,optical metrology,infrared imaging
Synthetic generation of infrared imagery using ai/ml methods,optical metrology,artificial intelligence
Synthetic generation of infrared imagery using ai/ml methods,optical metrology,synthetic image generation
Synthetic generation of infrared imagery using ai/ml methods,optical metrology,machine learning
Infrared system quality metrics optimized for automated processing,optical metrology,infrared systems
Infrared system quality metrics optimized for automated processing,optical metrology,automated processing
Infrared system quality metrics optimized for automated processing,optical metrology,quality metrics
Autonomous control of infrared systems,optical metrology,infrared systems
Autonomous control of infrared systems,optical metrology,autonomous control
Ai/ml methods for infrared system design,optical metrology,machine learning
Ai/ml methods for infrared system design,optical metrology,artificial intelligence
Ai/ml methods for infrared system design,optical metrology,infrared systems
Photovoltaic and energy conversion devices,optical metrology,energy conversion
Photovoltaic and energy conversion devices,optical metrology,photovoltaics
Light–matter interaction in low-dimensional systems,optical metrology,light–matter interaction
Light–matter interaction in low-dimensional systems,optical metrology,low-dimensional systems
Optical sensors and biosensors,optical metrology,biosensors
Optical sensors and biosensors,optical metrology,optical sensors
Environmental and biomedical applications of photonics,optical metrology,environmental photonics
Sustainable and green photonic technologies,optical metrology,sustainable photonics
Optical measurement systems for industrial inspection,optical metrology,optical measurement
Optical measurement systems for industrial inspection,optical metrology,industrial inspection
"Optical methods for inspection, characterization, and imaging of biomaterials",optical metrology,biomaterials
Automated visual inspection and machine vision,optical metrology,machine vision
Optical engineering,optical metrology,optical engineering
Laser-component fabrication,optical metrology,laser fabrication
High-intensity laser-surface interactions,optical metrology,laser physics
High-intensity laser-surface interactions,optical metrology,surface science
Generation of periodic surface structures,optical metrology,surface science
Fundamental effects of high-power laser-material interactions,optical metrology,laser physics
Ultrafast laser-material interactions,optical metrology,laser physics
Ultrafast laser-material interactions,optical metrology,ultrafast optics
Laser-material interactions at mid-infrared wavelengths,optical metrology,laser physics
Thermal effects of laser-material interactions,optical metrology,laser physics
Thermal effects of laser-material interactions,optical metrology,laser-material interactions
Thermal effects of laser-material interactions,optical metrology,thermal physics
Nonlinear effects in laser-solid interactions,optical metrology,laser physics
Nonlinear effects in laser-solid interactions,optical metrology,laser-solid interactions
Nonlinear effects in laser-solid interactions,optical metrology,nonlinear optics
Modeling of intensive laser-material interactions,optical metrology,laser physics
Modeling of intensive laser-material interactions,optical metrology,laser-material interactions
Photonic crystals and nanostructured optical materials,photonic materials,optics
Photonic crystals and nanostructured optical materials,photonic materials,photonic crystals
Photonic crystals and nanostructured optical materials,photonic materials,nanostructured materials
